,order_detail_id,ORDER_COUNTRY,ORDER_ID,COUNTRY_NAME,BRANCH_ID,BRANCH_NAME,BRANCH_ACTIVE,ITEM_ID,ITEM_NAME,ITEM_PRICE,ITEM_UOM,QUANTITY,DISCOUNT_ID,DISCOUNT_NAME,DISCOUNT_PERCENTAGE,INSERTION_TIME,order_time
0,1,1,1,USA,4,branch4,1,4,item1,13.0,g,4,1,disc1,10.0,2023-05-17 17:36:42,2023-05-17 17:36:42
1,2,1,2,USA,4,branch4,1,4,item1,13.0,g,4,2,dis2,20.0,2023-05-17 17:36:42,2023-05-17 17:36:42
2,3,1,2,USA,4,branch4,1,1,item1,10.0,kg,4,2,dis2,20.0,2023-05-17 17:36:42,2023-05-17 17:36:42
3,4,3,3,UK,4,branch4,1,2,item2,20.0,kg,4,2,dis2,20.0,2023-05-17 17:36:42,2023-05-17 17:36:42
4,5,3,3,UK,4,branch4,1,4,item1,13.0,g,4,2,dis2,20.0,2023-05-17 17:36:42,2023-05-17 17:36:42
5,6,3,3,UK,4,branch4,1,4,item1,13.0,g,3,1,disc1,10.0,2023-05-17 17:36:42,2023-05-17 17:36:42
6,7,1,4,USA,1,branch1,1,3,item3,14.0,kg,3,2,dis2,20.0,2023-05-17 17:36:42,2023-05-17 17:36:42
7,8,1,4,USA,1,branch1,1,4,item1,13.0,g,3,2,dis2,20.0,2023-05-17 17:36:42,2023-05-17 17:36:42
8,9,1,4,USA,1,branch1,1,2,item2,20.0,kg,2,1,disc1,10.0,2023-05-17 17:36:42,2023-05-17 17:36:42
9,10,2,5,PAK,2,branch2,1,2,item2,20.0,kg,3,1,disc1,10.0,2023-05-17 17:36:42,2023-05-17 17:36:42
10,11,2,5,PAK,2,branch2,1,1,item1,10.0,kg,4,2,dis2,20.0,2023-05-17 17:36:42,2023-05-17 17:36:42
11,12,3,6,UK,4,branch4,1,1,item1,10.0,kg,1,2,dis2,20.0,2023-05-17 17:36:42,2023-05-17 17:36:42
12,13,3,6,UK,4,branch4,1,4,item1,13.0,g,3,1,disc1,10.0,2023-05-17 17:36:42,2023-05-17 17:36:42
13,14,3,6,UK,4,branch4,1,4,item1,13.0,g,3,2,dis2,20.0,2023-05-17 17:36:42,2023-05-17 17:36:42
14,15,3,7,UK,4,branch4,1,1,item1,10.0,kg,1,2,dis2,20.0,2023-05-17 17:36:42,2023-05-17 17:36:42
15,16,1,8,USA,4,branch4,1,1,item1,10.0,kg,1,1,disc1,10.0,2023-05-17 17:36:42,2023-05-17 17:36:42
16,17,1,8,USA,4,branch4,1,4,item1,13.0,g,2,2,dis2,20.0,2023-05-17 17:36:42,2023-05-17 17:36:42
17,18,3,9,UK,3,branch3,1,3,item3,14.0,kg,1,1,disc1,10.0,2023-05-17 17:36:42,2023-05-17 17:36:42
18,19,3,9,UK,3,branch3,1,3,item3,14.0,kg,1,1,disc1,10.0,2023-05-17 17:36:42,2023-05-17 17:36:42
19,20,3,9,UK,3,branch3,1,3,item3,14.0,kg,2,2,dis2,20.0,2023-05-17 17:36:42,2023-05-17 17:36:42
20,21,3,9,UK,3,branch3,1,1,item1,10.0,kg,2,2,dis2,20.0,2023-05-17 17:36:42,2023-05-17 17:36:42
21,22,2,10,PAK,4,branch4,1,3,item3,14.0,kg,4,2,dis2,20.0,2023-05-17 17:36:42,2023-05-17 17:36:42
22,23,2,10,PAK,4,branch4,1,3,item3,14.0,kg,1,1,disc1,10.0,2023-05-17 17:36:42,2023-05-17 17:36:42
23,24,2,10,PAK,4,branch4,1,2,item2,20.0,kg,4,2,dis2,20.0,2023-05-17 17:36:42,2023-05-17 17:36:42
24,25,1,11,USA,1,branch1,1,1,item1,10.0,kg,3,1,disc1,10.0,2023-05-17 17:36:42,2023-05-17 17:36:42
25,26,1,11,USA,1,branch1,1,4,item1,13.0,g,4,2,dis2,20.0,2023-05-17 17:36:42,2023-05-17 17:36:42
26,27,1,11,USA,1,branch1,1,3,item3,14.0,kg,1,1,disc1,10.0,2023-05-17 17:36:42,2023-05-17 17:36:42
27,28,1,12,USA,4,branch4,1,1,item1,10.0,kg,3,1,disc1,10.0,2023-05-17 17:36:42,2023-05-17 17:36:42
28,29,1,13,USA,4,branch4,1,3,item3,14.0,kg,1,2,dis2,20.0,2023-05-17 17:36:42,2023-05-17 17:36:42
29,30,1,14,USA,3,branch3,1,1,item1,10.0,kg,1,1,disc1,10.0,2023-05-17 17:36:42,2023-05-17 17:36:42
30,31,1,14,USA,3,branch3,1,3,item3,14.0,kg,4,1,disc1,10.0,2023-05-17 17:36:42,2023-05-17 17:36:42
31,32,1,15,USA,4,branch4,1,1,item1,10.0,kg,2,1,disc1,10.0,2023-05-17 17:36:42,2023-05-17 17:36:42
32,33,1,15,USA,4,branch4,1,1,item1,10.0,kg,1,1,disc1,10.0,2023-05-17 17:36:42,2023-05-17 17:36:42
33,34,1,15,USA,4,branch4,1,2,item2,20.0,kg,4,1,disc1,10.0,2023-05-17 17:36:42,2023-05-17 17:36:42
34,35,3,16,UK,1,branch1,1,4,item1,13.0,g,3,1,disc1,10.0,2023-05-17 17:36:42,2023-05-17 17:36:42
35,36,3,16,UK,1,branch1,1,4,item1,13.0,g,3,1,disc1,10.0,2023-05-17 17:36:42,2023-05-17 17:36:42
36,37,3,16,UK,1,branch1,1,4,item1,13.0,g,3,2,dis2,20.0,2023-05-17 17:36:42,2023-05-17 17:36:42
37,38,1,17,USA,4,branch4,1,2,item2,20.0,kg,2,1,disc1,10.0,2023-05-17 17:36:42,2023-05-17 17:36:42
38,39,1,17,USA,4,branch4,1,4,item1,13.0,g,2,1,disc1,10.0,2023-05-17 17:36:42,2023-05-17 17:36:42
39,40,1,17,USA,4,branch4,1,4,item1,13.0,g,4,1,disc1,10.0,2023-05-17 17:36:42,2023-05-17 17:36:42
40,41,2,18,PAK,4,branch4,1,3,item3,14.0,kg,2,2,dis2,20.0,2023-05-17 17:36:42,2023-05-17 17:36:42
41,42,2,18,PAK,4,branch4,1,3,item3,14.0,kg,1,1,disc1,10.0,2023-05-17 17:36:42,2023-05-17 17:36:42
42,43,2,19,PAK,1,branch1,1,2,item2,20.0,kg,2,2,dis2,20.0,2023-05-17 17:36:42,2023-05-17 17:36:42
43,44,2,20,PAK,3,branch3,1,3,item3,14.0,kg,3,2,dis2,20.0,2023-05-17 17:36:42,2023-05-17 17:36:42
44,45,2,20,PAK,3,branch3,1,2,item2,20.0,kg,3,1,disc1,10.0,2023-05-17 17:36:42,2023-05-17 17:36:42
45,46,2,20,PAK,3,branch3,1,2,item2,20.0,kg,4,1,disc1,10.0,2023-05-17 17:36:42,2023-05-17 17:36:42
46,47,1,21,USA,3,branch3,1,4,item1,13.0,g,3,2,dis2,20.0,2023-05-17 17:36:42,2023-05-17 17:36:42
47,48,1,21,USA,3,branch3,1,3,item3,14.0,kg,4,1,disc1,10.0,2023-05-17 17:36:42,2023-05-17 17:36:42
48,49,1,21,USA,3,branch3,1,3,item3,14.0,kg,2,2,dis2,20.0,2023-05-17 17:36:42,2023-05-17 17:36:42
49,50,3,22,UK,4,branch4,1,1,item1,10.0,kg,1,1,disc1,10.0,2023-05-17 17:36:42,2023-05-17 17:36:42
50,51,3,22,UK,4,branch4,1,3,item3,14.0,kg,2,1,disc1,10.0,2023-05-17 17:36:42,2023-05-17 17:36:42
51,52,1,23,USA,4,branch4,1,3,item3,14.0,kg,3,1,disc1,10.0,2023-05-17 17:36:42,2023-05-17 17:36:42
52,53,2,24,PAK,3,branch3,1,2,item2,20.0,kg,3,2,dis2,20.0,2023-05-17 17:36:42,2023-05-17 17:36:42
53,54,2,24,PAK,3,branch3,1,4,item1,13.0,g,2,1,disc1,10.0,2023-05-17 17:36:42,2023-05-17 17:36:42
54,55,1,25,USA,1,branch1,1,1,item1,10.0,kg,3,1,disc1,10.0,2023-05-17 17:36:42,2023-05-17 17:36:42
55,56,1,25,USA,1,branch1,1,1,item1,10.0,kg,1,1,disc1,10.0,2023-05-17 17:36:42,2023-05-17 17:36:42
56,57,1,26,USA,1,branch1,1,2,item2,20.0,kg,1,1,disc1,10.0,2023-05-17 17:36:42,2023-05-17 17:36:42
57,58,1,26,USA,1,branch1,1,1,item1,10.0,kg,4,2,dis2,20.0,2023-05-17 17:36:42,2023-05-17 17:36:42
58,59,3,27,UK,1,branch1,1,3,item3,14.0,kg,1,2,dis2,20.0,2023-05-17 17:36:42,2023-05-17 17:36:42
59,60,2,28,PAK,2,branch2,1,4,item1,13.0,g,2,2,dis2,20.0,2023-05-17 17:36:42,2023-05-17 17:36:42
60,61,3,29,UK,1,branch1,1,2,item2,20.0,kg,1,1,disc1,10.0,2023-05-17 17:36:42,2023-05-17 17:36:42
61,62,3,29,UK,1,branch1,1,1,item1,10.0,kg,1,2,dis2,20.0,2023-05-17 17:36:42,2023-05-17 17:36:42
62,63,1,30,USA,4,branch4,1,3,item3,14.0,kg,3,2,dis2,20.0,2023-05-17 17:36:42,2023-05-17 17:36:42
63,64,1,30,USA,4,branch4,1,1,item1,10.0,kg,2,1,disc1,10.0,2023-05-17 17:36:42,2023-05-17 17:36:42
64,65,2,31,PAK,3,branch3,1,3,item3,14.0,kg,1,1,disc1,10.0,2023-05-17 17:36:42,2023-05-17 17:36:42
65,66,2,31,PAK,3,branch3,1,1,item1,10.0,kg,1,1,disc1,10.0,2023-05-17 17:36:42,2023-05-17 17:36:42
66,67,2,31,PAK,3,branch3,1,4,item1,13.0,g,4,2,dis2,20.0,2023-05-17 17:36:42,2023-05-17 17:36:42
67,68,1,32,USA,4,branch4,1,2,item2,20.0,kg,2,1,disc1,10.0,2023-05-17 17:36:42,2023-05-17 17:36:42
68,69,1,32,USA,4,branch4,1,3,item3,14.0,kg,4,1,disc1,10.0,2023-05-17 17:36:42,2023-05-17 17:36:42
69,70,1,32,USA,4,branch4,1,2,item2,20.0,kg,3,2,dis2,20.0,2023-05-17 17:36:42,2023-05-17 17:36:42
70,71,3,33,UK,4,branch4,1,3,item3,14.0,kg,1,2,dis2,20.0,2023-05-17 17:36:42,2023-05-17 17:36:42
71,72,3,33,UK,4,branch4,1,1,item1,10.0,kg,2,2,dis2,20.0,2023-05-17 17:36:42,2023-05-17 17:36:42
72,73,3,34,UK,1,branch1,1,4,item1,13.0,g,3,2,dis2,20.0,2023-05-17 17:36:42,2023-05-17 17:36:42
73,74,2,35,PAK,3,branch3,1,1,item1,10.0,kg,3,1,disc1,10.0,2023-05-17 17:36:42,2023-05-17 17:36:42
74,75,2,36,PAK,1,branch1,1,1,item1,10.0,kg,3,2,dis2,20.0,2023-05-17 17:36:42,2023-05-17 17:36:42
75,76,2,36,PAK,1,branch1,1,1,item1,10.0,kg,4,2,dis2,20.0,2023-05-17 17:36:42,2023-05-17 17:36:42
76,77,1,37,USA,2,branch2,1,1,item1,10.0,kg,3,2,dis2,20.0,2023-05-17 17:36:42,2023-05-17 17:36:42
77,78,1,37,USA,2,branch2,1,2,item2,20.0,kg,3,2,dis2,20.0,2023-05-17 17:36:42,2023-05-17 17:36:42
